t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
0.0000000000,1.0000000000,0.0000000000,1.4000000000,0.0000000000
0.0200000000,0.9998000000,0.0160000000,1.3998979592,0.0130000000
0.0400000000,0.9991999936,0.0319935986,1.3995918334,0.0259981048
0.0600000000,0.9981999618,0.0479743887,1.3990816125,0.0389924184
0.0800000000,0.9967998730,0.0639359518,1.3983672799,0.0519810434
0.1000000000,0.9949996833,0.0798718518,1.3974488121,0.0649620802
0.1200000000,0.9927993372,0.0957756300,1.3963261789,0.0779336261
0.1400000000,0.9901987678,0.1116407986,1.3949993437,0.0908937748
0.1600000000,0.9871978974,0.1274608349,1.3934682632,0.1038406155
0.1800000000,0.9837966389,0.1432291755,1.3917328874,0.1167722323
0.2000000000,0.9799948958,0.1589392104,1.3897931599,0.1296867030
