t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
0.0000000000,1.0000000000,0.0000000000,1.4000000000,0.0000000000
0.0200000000,0.9998000000,0.0160000000,1.3998979592,0.0130000000
0.0400000000,0.9991999936,0.0319935986,1.3995918334,0.0259981048
0.0600000000,0.9981999618,0.0479743887,1.3990816125,0.0389924184
0.0800000000,0.9967998730,0.0639359518,1.3983672799,0.0519810434
0.1000000000,0.9949996833,0.0798718518,1.3974488121,0.0649620802
0.1200000000,0.9927993372,0.0957756300,1.3963261789,0.0779336261
0.1400000000,0.9901987678,0.1116407986,1.3949993437,0.0908937748
0.1600000000,0.9871978974,0.1274608349,1.3934682632,0.1038406155
0.1800000000,0.9837966389,0.1432291755,1.3917328874,0.1167722323
0.2000000000,0.9799948958,0.1589392104,1.3897931599,0.1296867030
0.2200000000,0.9757925641,0.1745842763,1.3876490179,0.1425820991
0.2400000000,0.9711895331,0.1901576509,1.3853003920,0.1554564843
0.2600000000,0.9661856866,0.2056525464,1.3827472066,0.1683079142
0.2800000000,0.9607809049,0.2210621028,1.3799893797,0.1811344351
0.3000000000,0.9549750661,0.2363793817,1.3770268233,0.1939340836
0.3200000000,0.9487680484,0.2515973591,1.3738594429,0.2067048856
0.3400000000,0.9421597316,0.2667089188,1.3704871384,0.2194448557
0.3600000000,0.9351500000,0.2817068449,1.3669098035,0.2321519959
0.3800000000,0.9277387444,0.2965838150,1.3631273261,0.2448242954
0.4000000000,0.9199258655,0.3113323923,1.3591395885,0.2574597291
0.4200000000,0.9117112762,0.3259450179,1.3549464673,0.2700562573
0.4400000000,0.9030949054,0.3404140030,1.3505478338,0.2826118245
0.4600000000,0.8940767017,0.3547315205,1.3459435537,0.2951243587
0.4800000000,0.8846566368,0.3688895967,1.3411334880,0.3075917705
0.5000000000,0.8748347105,0.3828801023,1.3361174923,0.3200119517
0.5200000000,0.8646109549,0.3966947432,1.3308954177,0.3323827753
0.5400000000,0.8539854396,0.4103250516,1.3254671106,0.3447020935
0.5600000000,0.8429582776,0.4237623757,1.3198324128,0.3569677376
0.5800000000,0.8315296309,0.4369978701,1.3139911622,0.3691775166
0.6000000000,0.8196997176,0.4500224848,1.3079431926,0.3813292159
0.6200000000,0.8074688186,0.4628269548,1.3016883340,0.3934205971
0.6400000000,0.7948372860,0.4754017887,1.2952264133,0.4054493961
0.6600000000,0.7818055512,0.4877372567,1.2885572537,0.4174133223
0.6800000000,0.7683741342,0.4998233791,1.2816806760,0.4293100578
0.7000000000,0.7545436542,0.5116499130,1.2745964982,0.4411372559
0.7200000000,0.7403148403,0.5232063399,1.2673045361,0.4528925399
