t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
0.0000000000,1.3000000000,0.0000000000,0.9078691764,0.3387854840
0.0200000000,1.2998726021,0.0111996341,0.8990849966,0.3456848763
0.0400000000,1.2994904333,0.0223970732,0.8901245991,0.3525165154
0.0600000000,1.2988535685,0.0335901225,0.8809897400,0.3592790625
0.0800000000,1.2979621326,0.0447765882,0.8716822097,0.3659711919
0.1000000000,1.2968163003,0.0559542779,0.8622038325,0.3725915922
0.1200000000,1.2954162962,0.0671210007,0.8525564661,0.3791389658
0.1400000000,1.2937623946,0.0782745680,0.8427420013,0.3856120293
0.1600000000,1.2918549197,0.0894127937,0.8327623619,0.3920095141
0.1800000000,1.2896942453,0.1005334948,0.8226195036,0.3983301662
0.2000000000,1.2872807951,0.1116344917,0.8123154146,0.4045727470
0.2200000000,1.2846150419,0.1227136086,0.8018521144,0.4107360328
0.2400000000,1.2816975083,0.1337686740,0.7912316537,0.4168188156
0.2600000000,1.2785287661,0.1447975212,0.7804561141,0.4228199033
0.2800000000,1.2751094363,0.1557979885,0.7695276077,0.4287381196
0.3000000000,1.2714401891,0.1667679199,0.7584482762,0.4345723046
0.3200000000,1.2675217438,0.1777051653,0.7472202914,0.4403213149
0.3400000000,1.2633548682,0.1886075811,0.7358458538,0.4459840236
0.3600000000,1.2589403792,0.1994730304,0.7243271927,0.4515593208
0.3800000000,1.2542791418,0.2102993836,0.7126665659,0.4570461139
0.4000000000,1.2493720698,0.2210845189,0.7008662586,0.4624433273
0.4200000000,1.2442201248,0.2318263222,0.6889285838,0.4677499034
0.4400000000,1.2388243167,0.2425226884,0.6768558813,0.4729648020
0.4600000000,1.2331857030,0.2531715208,0.6646505171,0.4780870010
0.4800000000,1.2273053888,0.2637707325,0.6523148836,0.4831154965
0.5000000000,1.2211845267,0.2743182460,0.6398513984,0.4880493029
0.5200000000,1.2148243163,0.2848119939,0.6272625044,0.4928874532
0.5400000000,1.2082260043,0.2952499196,0.6145506690,0.4976289991
0.5600000000,1.2013908838,0.3056299773,0.6017183836,0.5022730113
0.5800000000,1.1943202946,0.3159501325,0.5887681633,0.5068185797
0.6000000000,1.1870156224,0.3262083624,0.5757025464,0.5112648132
0.6200000000,1.1794782990,0.3364026566,0.5625240936,0.5156108404
0.6400000000,1.1717098015,0.3465310169,0.5492353878,0.5198558096
0.6600000000,1.1637116527,0.3565914583,0.5358390337,0.5239988887
0.6800000000,1.1554854202,0.3665820089,0.5223376569,0.5280392657
0.7000000000,1.1470327162,0.3765007105,0.5087339036,0.5319761487
